,제목,가격,판매지수,출판년월,연도,월
0,내면 근력,19800,"판매지수 87,186",2026-04-01,2026,4
1,프로젝트 헤일메리,19800,"판매지수 655,119",2026-02-01,2026,2
2,"2026 큰별쌤 최태성의 별별한국사 기출 500제 한국사능력검정시험 심화(1,2,3급)",19800,"판매지수 319,287",2025-12-01,2025,12
3,안녕이라 그랬어,15120,"판매지수 559,926",2025-06-01,2025,6
4,니체의 초월자,15210,"판매지수 281,919",2025-10-01,2025,10
5,품격 있는 대화를 위한 지식 브리핑,22500,"판매지수 163,380",2026-04-01,2026,4
6,정재승의 로봇 탐구 보고서 1,15120,"판매지수 29,550",2026-05-01,2026,5
7,인생을 위한 최소한의 생각,17820,"판매지수 309,213",2026-02-01,2026,2
8,Go Go 카카오프렌즈 40 몽골,15210,"판매지수 5,340",2026-05-01,2026,5
9,구멍청,15300,"판매지수 95,457",2026-05-01,2026,5
10,2026 선재국어 최우선 봉투 모의고사,22500,"판매지수 181,329",2026-04-01,2026,4
11,바다에서 온 소년,17820,"판매지수 78,414",2026-04-01,2026,4
12,괴테는 모든 것을 말했다,15300,"판매지수 414,846",2025-11-01,2025,11
13,완벽한 원시인,19800,"판매지수 194,091",2026-03-01,2026,3
14,2026 심우철 실전 동형 모의고사 Season 4,13500,"판매지수 24,720",2026-05-01,2026,5
15,"2026 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 상",17100,"판매지수 425,346",2025-12-01,2025,12
16,싯다르타,7200,"판매지수 199,374",2002-01-01,2002,1
17,이향인,15210,"판매지수 91,275",2026-03-01,2026,3
18,흔한남매 22,15120,"판매지수 209,625",2026-04-01,2026,4
19,모순,11700,"판매지수 467,991",2013-04-01,2013,4
20,"2026 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 하",16650,"판매지수 397,683",2025-12-01,2025,12
21,제미나이 주식투자,18000,"판매지수 71,256",2026-04-01,2026,4
22,위버멘쉬,16020,"판매지수 424,260",2025-03-01,2025,3
23,21세기 대군부인 대본집 세트,54000,"판매지수 144,297",2026-05-01,2026,5
24,사춘기 엄마의 오장육부,16020,"판매지수 72,477",2026-04-01,2026,4
25,체호프 단편선,8100,"판매지수 42,081",2002-11-01,2002,11
26,거꾸로 가는 하나님 나라,16200,"판매지수 40,857",2026-05-01,2026,5
27,1+1 편의점에 간 나폴레옹,13500,"판매지수 4,188",2026-05-01,2026,5
28,세금 아는 형의 세무조사 이야기,18000,"판매지수 16,920",2026-05-01,2026,5
29,오후의 마지막 잔디,13500,"판매지수 41,631",2026-04-01,2026,4
30,박곰희 연금 부자 수업,18900,"판매지수 541,560",2025-06-01,2025,6
31,백지 앞에서,15750,"판매지수 63,411",2026-04-01,2026,4
32,누구나 오를 종목을 찾는 급등의 법칙,22500,"판매지수 32,643",2026-05-01,2026,5
33,진보를 위한 주식투자,19800,"판매지수 318,048",2025-12-01,2025,12
34,ETS 토익 정기시험 기출문제집 1000 Vol. 5 RC,19800,"판매지수 233,910",2025-12-01,2025,12
35,자몽살구클럽,10800,"판매지수 350,778",2025-07-01,2025,7
36,포켓몬 생태도감,13500,"판매지수 81,480",2026-04-01,2026,4
37,오늘부터 300일,14850,"판매지수 23,727",2021-03-01,2021,3
38,월드클래스,19800,"판매지수 20,514",2026-04-01,2026,4
39,심리학은 어떻게 삶의 무기가 되는가,16920,"판매지수 33,285",2026-05-01,2026,5
40,돈의 심리학 (50만 부 기념 뉴 에디션),22320,"판매지수 114,351",2026-01-01,2026,1
41,무례한 세상에서 나를 지키는 법,17820,"판매지수 162,768",2026-03-01,2026,3
42,이더리움 없는 미래는 없다,28800,"판매지수 8,190",2026-05-01,2026,5
43,말하지 않고 말하기,21600,"판매지수 24,252",2026-05-01,2026,5
44,데미안,7200,"판매지수 151,434",2000-12-01,2000,12
45,2026 심우철 실전 동형 모의고사 Season 3,13500,"판매지수 94,980",2026-04-01,2026,4
46,2026 문동균 한국사 지방직 대비 실전 봉투 모의고사,11700,"판매지수 82,284",2026-04-01,2026,4
47,너를 아끼며 살아라,16650,"판매지수 294,294",2025-06-01,2025,6
48,"AI, 신의 탄생 인간의 종말",19800,"판매지수 52,524",2026-04-01,2026,4
49,나의 완벽한 장례식,17100,"판매지수 199,611",2026-01-01,2026,1
50,나쁜 일이 있어도 나쁜 날은 아니야,15120,"판매지수 90,813",2026-01-01,2026,1
51,ETS 토익 정기시험 기출문제집 1000 Vol. 5 LC,19800,"판매지수 217,701",2025-12-01,2025,12
52,최소한의 세계사,20700,"판매지수 4,440",2026-05-01,2026,5
53,긴긴밤,11250,"판매지수 276,717",2021-02-01,2021,2
54,"하루 한 장, 단단한 삶을 위한 고전 필사 노트",17910,"판매지수 15,387",2026-04-01,2026,4
55,『각자의 우주』 정영한 저자 북토크,5000,"판매지수 2,550",2026-05-01,2026,5
56,어른의 감정을 돌보는 100일 필사 노트,18000,"판매지수 78,531",2026-04-01,2026,4
57,부처님 말씀대로 살아보니,17010,"판매지수 153,942",2026-02-01,2026,2
58,타몬 군 지금 어느 쪽?! 12,5400,"판매지수 74,220",2026-05-01,2026,5
59,"큰별쌤 최태성의 별별한국사 시대별 기출문제집 한국사능력검정시험 심화(1,2,3급)",17730,"판매지수 128,355",2025-06-01,2025,6
60,우리 세희,13500,"판매지수 2,280",2026-05-01,2026,5
